   103501.35510	   116327.49110	   26	   114732.69000
   103501.35510	   131917.70230	   25	   121585.63000
   108714.47730	   128953.09970	   25	   123853.33000
   113045.27520	   121808.25680	   25	   123156.94000
   114857.07090	   121038.44990	   25	   123694.61000
   120534.92880	   112874.73450	   26	   123504.99000
   121370.10600	   105883.32090	   26	   120984.29000
   122420.81280	   104290.61520	   26	   120881.98000
   122420.81280	   117008.57850	   25	   126926.25000
   123909.31410	    98836.38980	   25	   119446.40000
   124421.19690	    92011.52120	   26	   116234.14000
   124448.13810	    90511.75150	   26	   115657.29000
   125209.22700	    98133.25560	   25	   119956.70000
   125741.31570	    97635.88760	   25	   119988.02000
   126798.75780	    89594.73680	   26	   116923.70000
   127728.22920	    95564.46620	   25	   120113.26000
   127963.96470	    86948.35320	   26	   116500.32000
   129371.64240	    94797.70350	   25	   120783.23000
   129560.23080	    94823.26470	   25	   120585.27000
   131055.46740	    86727.26410	   26	   118094.03000
   131055.46740	    86808.89920	   26	   118028.22000
   131324.87940	    86200.56190	   26	   118051.69000
   131702.05620	    88637.48100	   25	   119476.14000
   132752.76300	    82270.96400	   25	   117416.54000
   133675.49910	    81777.08900	   25	   117691.38000
   134274.94080	    72779.77050	   26	   113638.75000
   134288.41140	    75271.15690	   25	   114831.19000
   134679.05880	    74784.79550	   25	   115105.23000
   134679.05880	    75093.57970	   25	   115065.39000
   137561.76720	    70684.16080	   25	   114858.44000
   138612.47400	    67274.20790	   25	   114084.85000
   140026.88700	   106525.28990	   24	   132470.75000
   141838.68270	   101365.91620	   24	   131471.64000
   141906.03570	    99313.78670	   24	   130495.05000
   141932.97690	    92978.43500	   24	   127664.92000
   144202.77300	    64878.99200	   26	   116381.98000
   145233.27390	    91969.79320	   24	   129227.80000
   145253.47980	    89068.43500	   24	   127644.98000
   148573.98270	    86190.60370	   24	   128476.29000
   151894.48560	    62967.20740	   26	   119936.36000
   151894.48560	    62994.56890	   25	   120262.65000
   154265.31120	    59666.72950	   26	   120169.85000
   155214.98850	    56528.61130	   26	   119142.53000
